Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:44.993000,,0 days 00:00:31.826000,0 days 00:00:37.685000,INTERMEDIATE,1.0,1.0,,,12,2.0,False,2024,Canada,R,104.993,,31.826,37.685
VER,Red Bull Racing,2.0,0 days 00:01:37.672000,0 days 00:00:28.815000,0 days 00:00:31.274000,0 days 00:00:37.583000,INTERMEDIATE,2.0,1.0,,,1,2.0,False,2024,Canada,R,97.672,28.815,31.274,37.583
VER,Red Bull Racing,3.0,0 days 00:01:36.443000,0 days 00:00:28.620000,0 days 00:00:31.275000,0 days 00:00:36.548000,INTERMEDIATE,3.0,1.0,,,1,2.0,False,2024,Canada,R,96.443,28.62,31.275,36.548
VER,Red Bull Racing,4.0,0 days 00:01:35.105000,0 days 00:00:28.103000,0 days 00:00:30.649000,0 days 00:00:36.353000,INTERMEDIATE,4.0,1.0,,,1,2.0,False,2024,Canada,R,95.105,28.103,30.649,36.353
VER,Red Bull Racing,5.0,0 days 00:01:33.859000,0 days 00:00:27.574000,0 days 00:00:30.293000,0 days 00:00:35.992000,INTERMEDIATE,5.0,1.0,,,1,2.0,False,2024,Canada,R,93.859,27.574,30.293,35.992
VER,Red Bull Racing,6.0,0 days 00:01:32.634000,0 days 00:00:27.040000,0 days 00:00:29.789000,0 days 00:00:35.805000,INTERMEDIATE,6.0,1.0,,,12,2.0,False,2024,Canada,R,92.634,27.04,29.789,35.805
VER,Red Bull Racing,7.0,0 days 00:01:31.258000,0 days 00:00:26.610000,0 days 00:00:29.509000,0 days 00:00:35.139000,INTERMEDIATE,7.0,1.0,,,1,2.0,False,2024,Canada,R,91.258,26.61,29.509,35.139
VER,Red Bull Racing,8.0,0 days 00:01:30.766000,0 days 00:00:26.684000,0 days 00:00:29.016000,0 days 00:00:35.066000,INTERMEDIATE,8.0,1.0,,,1,2.0,False,2024,Canada,R,90.766,26.684,29.016,35.066
VER,Red Bull Racing,9.0,0 days 00:01:30.159000,0 days 00:00:26.391000,0 days 00:00:28.943000,0 days 00:00:34.825000,INTERMEDIATE,9.0,1.0,,,1,2.0,False,2024,Canada,R,90.159,26.391,28.943,34.825
VER,Red Bull Racing,10.0,0 days 00:01:29.295000,0 days 00:00:26.155000,0 days 00:00:28.544000,0 days 00:00:34.596000,INTERMEDIATE,10.0,1.0,,,1,2.0,False,2024,Canada,R,89.295,26.155,28.544,34.596
VER,Red Bull Racing,11.0,0 days 00:01:29.700000,0 days 00:00:26.031000,0 days 00:00:29.271000,0 days 00:00:34.398000,INTERMEDIATE,11.0,1.0,,,1,2.0,False,2024,Canada,R,89.7,26.031,29.271,34.398
VER,Red Bull Racing,12.0,0 days 00:01:28.991000,0 days 00:00:26.076000,0 days 00:00:28.639000,0 days 00:00:34.276000,INTERMEDIATE,12.0,1.0,,,1,2.0,False,2024,Canada,R,88.991,26.076,28.639,34.276
VER,Red Bull Racing,13.0,0 days 00:01:28.532000,0 days 00:00:25.653000,0 days 00:00:28.773000,0 days 00:00:34.106000,INTERMEDIATE,13.0,1.0,,,1,2.0,False,2024,Canada,R,88.532,25.653,28.773,34.106
VER,Red Bull Racing,14.0,0 days 00:01:28.527000,0 days 00:00:25.724000,0 days 00:00:28.668000,0 days 00:00:34.135000,INTERMEDIATE,14.0,1.0,,,1,2.0,False,2024,Canada,R,88.527,25.724,28.668,34.135
VER,Red Bull Racing,15.0,0 days 00:01:28.637000,0 days 00:00:26.102000,0 days 00:00:28.613000,0 days 00:00:33.922000,INTERMEDIATE,15.0,1.0,,,1,2.0,False,2024,Canada,R,88.637,26.102,28.613,33.922
