Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:35.669000,,0 days 00:00:34.681000,0 days 00:00:26.310000,nan,,,,,12,1.0,False,2025,Miami,R,95.669,,34.681,26.31
VER,Red Bull Racing,2.0,0 days 00:01:51.128000,0 days 00:00:31.426000,0 days 00:00:47.940000,0 days 00:00:31.762000,nan,,,,,126,1.0,False,2025,Miami,R,111.128,31.426,47.94,31.762
VER,Red Bull Racing,3.0,0 days 00:02:05.946000,0 days 00:00:43.901000,0 days 00:00:48.777000,0 days 00:00:33.268000,nan,,,,,671,1.0,False,2025,Miami,R,125.946,43.901,48.777,33.268
VER,Red Bull Racing,4.0,0 days 00:01:32.569000,0 days 00:00:31.185000,0 days 00:00:35.126000,0 days 00:00:26.258000,nan,,,,,1,1.0,False,2025,Miami,R,92.569,31.185,35.126,26.258
VER,Red Bull Racing,5.0,0 days 00:01:32.133000,0 days 00:00:31.182000,0 days 00:00:34.799000,0 days 00:00:26.152000,nan,,,,,1,1.0,False,2025,Miami,R,92.133,31.182,34.799,26.152
VER,Red Bull Racing,6.0,0 days 00:01:32.096000,0 days 00:00:31.075000,0 days 00:00:34.815000,0 days 00:00:26.206000,nan,,,,,1,1.0,False,2025,Miami,R,92.096,31.075,34.815,26.206
VER,Red Bull Racing,7.0,0 days 00:01:32.083000,0 days 00:00:31.076000,0 days 00:00:34.867000,0 days 00:00:26.140000,nan,,,,,1,1.0,False,2025,Miami,R,92.083,31.076,34.867,26.14
VER,Red Bull Racing,8.0,0 days 00:01:32.583000,0 days 00:00:31.420000,0 days 00:00:35.021000,0 days 00:00:26.142000,nan,,,,,1,1.0,False,2025,Miami,R,92.583,31.42,35.021,26.142
VER,Red Bull Racing,9.0,0 days 00:01:32.406000,0 days 00:00:31.176000,0 days 00:00:34.998000,0 days 00:00:26.232000,nan,,,,,1,1.0,False,2025,Miami,R,92.406,31.176,34.998,26.232
VER,Red Bull Racing,10.0,0 days 00:01:32.392000,0 days 00:00:30.922000,0 days 00:00:35.089000,0 days 00:00:26.381000,nan,,,,,1,1.0,False,2025,Miami,R,92.392,30.922,35.089,26.381
VER,Red Bull Racing,11.0,0 days 00:01:32.595000,0 days 00:00:31.315000,0 days 00:00:35.014000,0 days 00:00:26.266000,nan,,,,,1,1.0,False,2025,Miami,R,92.595,31.315,35.014,26.266
VER,Red Bull Racing,12.0,0 days 00:01:32.236000,0 days 00:00:30.879000,0 days 00:00:35.080000,0 days 00:00:26.277000,nan,,,,,1,1.0,False,2025,Miami,R,92.236,30.879,35.08,26.277
VER,Red Bull Racing,13.0,0 days 00:01:32.272000,0 days 00:00:30.973000,0 days 00:00:35.031000,0 days 00:00:26.268000,nan,,,,,1,1.0,False,2025,Miami,R,92.272,30.973,35.031,26.268
VER,Red Bull Racing,14.0,0 days 00:01:34.727000,0 days 00:00:33.180000,0 days 00:00:35.275000,0 days 00:00:26.272000,nan,,,,,1,2.0,False,2025,Miami,R,94.727,33.18,35.275,26.272
VER,Red Bull Racing,15.0,0 days 00:01:33.736000,0 days 00:00:32.111000,0 days 00:00:35.324000,0 days 00:00:26.301000,nan,,,,,1,2.0,False,2025,Miami,R,93.736,32.111,35.324,26.301
VER,Red Bull Racing,16.0,0 days 00:01:33.178000,0 days 00:00:31.413000,0 days 00:00:35.507000,0 days 00:00:26.258000,nan,,,,,1,2.0,False,2025,Miami,R,93.178,31.413,35.507,26.258
VER,Red Bull Racing,17.0,0 days 00:01:34.857000,0 days 00:00:31.316000,0 days 00:00:37.421000,0 days 00:00:26.120000,nan,,,,,1,2.0,True,2025,Miami,R,94.857,31.316,37.421,26.12
VER,Red Bull Racing,18.0,0 days 00:01:33.253000,0 days 00:00:31.311000,0 days 00:00:36.003000,0 days 00:00:25.939000,nan,,,,,1,3.0,False,2025,Miami,R,93.253,31.311,36.003,25.939
VER,Red Bull Racing,19.0,0 days 00:01:32.824000,0 days 00:00:31.438000,0 days 00:00:35.239000,0 days 00:00:26.147000,nan,,,,,1,3.0,False,2025,Miami,R,92.824,31.438,35.239,26.147
VER,Red Bull Racing,20.0,0 days 00:01:33.284000,0 days 00:00:31.207000,0 days 00:00:35.936000,0 days 00:00:26.141000,nan,,,,,1,3.0,False,2025,Miami,R,93.284,31.207,35.936,26.141
