Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:41.528000,,0 days 00:00:29.650000,0 days 00:00:43.295000,MEDIUM,1.0,1.0,,,1,1.0,False,2024,China,R,101.528,,29.65,43.295
VER,Red Bull Racing,2.0,0 days 00:01:40.103000,0 days 00:00:26.651000,0 days 00:00:30.091000,0 days 00:00:43.361000,MEDIUM,2.0,1.0,,,1,1.0,False,2024,China,R,100.103,26.651,30.091,43.361
VER,Red Bull Racing,3.0,0 days 00:01:40.494000,0 days 00:00:27.011000,0 days 00:00:30.190000,0 days 00:00:43.293000,MEDIUM,3.0,1.0,,,1,1.0,False,2024,China,R,100.494,27.011,30.19,43.293
VER,Red Bull Racing,4.0,0 days 00:01:40.573000,0 days 00:00:26.923000,0 days 00:00:30.187000,0 days 00:00:43.463000,MEDIUM,4.0,1.0,,,1,1.0,False,2024,China,R,100.573,26.923,30.187,43.463
VER,Red Bull Racing,5.0,0 days 00:01:40.919000,0 days 00:00:27.106000,0 days 00:00:30.299000,0 days 00:00:43.514000,MEDIUM,5.0,1.0,,,1,1.0,False,2024,China,R,100.919,27.106,30.299,43.514
VER,Red Bull Racing,6.0,0 days 00:01:41.147000,0 days 00:00:27.114000,0 days 00:00:30.431000,0 days 00:00:43.602000,MEDIUM,6.0,1.0,,,1,1.0,False,2024,China,R,101.147,27.114,30.431,43.602
VER,Red Bull Racing,7.0,0 days 00:01:41.118000,0 days 00:00:27.164000,0 days 00:00:30.362000,0 days 00:00:43.592000,MEDIUM,7.0,1.0,,,1,1.0,False,2024,China,R,101.118,27.164,30.362,43.592
VER,Red Bull Racing,8.0,0 days 00:01:41.110000,0 days 00:00:27.129000,0 days 00:00:30.395000,0 days 00:00:43.586000,MEDIUM,8.0,1.0,,,1,1.0,False,2024,China,R,101.11,27.129,30.395,43.586
VER,Red Bull Racing,9.0,0 days 00:01:41.155000,0 days 00:00:27.111000,0 days 00:00:30.392000,0 days 00:00:43.652000,MEDIUM,9.0,1.0,,,1,1.0,False,2024,China,R,101.155,27.111,30.392,43.652
VER,Red Bull Racing,10.0,0 days 00:01:41.424000,0 days 00:00:27.172000,0 days 00:00:30.519000,0 days 00:00:43.733000,MEDIUM,10.0,1.0,,,1,1.0,False,2024,China,R,101.424,27.172,30.519,43.733
VER,Red Bull Racing,11.0,0 days 00:01:41.401000,0 days 00:00:27.170000,0 days 00:00:30.646000,0 days 00:00:43.585000,MEDIUM,11.0,1.0,,,1,1.0,False,2024,China,R,101.401,27.17,30.646,43.585
