Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
PIA,McLaren,1.0,0 days 00:02:04.986000,,0 days 00:00:29.518000,0 days 00:00:58.921000,MEDIUM,1.0,1.0,,,124,2.0,False,2025,Saudi Arabia,R,124.986,,29.518,58.921
PIA,McLaren,2.0,,0 days 00:01:08.447000,0 days 00:00:49.209000,0 days 00:00:46.412000,MEDIUM,2.0,1.0,,,4,2.0,False,2025,Saudi Arabia,R,,68.447,49.209,46.412
PIA,McLaren,3.0,,0 days 00:00:56.071000,0 days 00:00:46.270000,0 days 00:01:12.862000,MEDIUM,3.0,1.0,,,41,3.0,False,2025,Saudi Arabia,R,,56.071,46.27,72.862
PIA,McLaren,4.0,0 days 00:01:34.247000,0 days 00:00:34.829000,0 days 00:00:29.607000,0 days 00:00:29.811000,MEDIUM,4.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.247,34.829,29.607,29.811
PIA,McLaren,5.0,0 days 00:01:33.418000,0 days 00:00:34.522000,0 days 00:00:29.411000,0 days 00:00:29.485000,MEDIUM,5.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.418,34.522,29.411,29.485
PIA,McLaren,6.0,0 days 00:01:33.917000,0 days 00:00:34.783000,0 days 00:00:29.453000,0 days 00:00:29.681000,MEDIUM,6.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.917,34.783,29.453,29.681
PIA,McLaren,7.0,0 days 00:01:33.523000,0 days 00:00:34.373000,0 days 00:00:29.422000,0 days 00:00:29.728000,MEDIUM,7.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.523,34.373,29.422,29.728
PIA,McLaren,8.0,0 days 00:01:33.893000,0 days 00:00:34.442000,0 days 00:00:29.510000,0 days 00:00:29.941000,MEDIUM,8.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.893,34.442,29.51,29.941
PIA,McLaren,9.0,0 days 00:01:33.500000,0 days 00:00:34.313000,0 days 00:00:29.439000,0 days 00:00:29.748000,MEDIUM,9.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.5,34.313,29.439,29.748
PIA,McLaren,10.0,0 days 00:01:34.045000,0 days 00:00:34.605000,0 days 00:00:29.507000,0 days 00:00:29.933000,MEDIUM,10.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.045,34.605,29.507,29.933
PIA,McLaren,11.0,0 days 00:01:33.808000,0 days 00:00:34.580000,0 days 00:00:29.489000,0 days 00:00:29.739000,MEDIUM,11.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.808,34.58,29.489,29.739
PIA,McLaren,12.0,0 days 00:01:33.770000,0 days 00:00:34.622000,0 days 00:00:29.451000,0 days 00:00:29.697000,MEDIUM,12.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,93.77,34.622,29.451,29.697
PIA,McLaren,13.0,0 days 00:01:34.280000,0 days 00:00:34.793000,0 days 00:00:29.535000,0 days 00:00:29.952000,MEDIUM,13.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.28,34.793,29.535,29.952
PIA,McLaren,14.0,0 days 00:01:34.072000,0 days 00:00:34.687000,0 days 00:00:29.512000,0 days 00:00:29.873000,MEDIUM,14.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.072,34.687,29.512,29.873
PIA,McLaren,15.0,0 days 00:01:34.149000,0 days 00:00:34.695000,0 days 00:00:29.550000,0 days 00:00:29.904000,MEDIUM,15.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.149,34.695,29.55,29.904
PIA,McLaren,16.0,0 days 00:01:34.124000,0 days 00:00:34.602000,0 days 00:00:29.559000,0 days 00:00:29.963000,MEDIUM,16.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.124,34.602,29.559,29.963
PIA,McLaren,17.0,0 days 00:01:34.279000,0 days 00:00:34.660000,0 days 00:00:29.568000,0 days 00:00:30.051000,MEDIUM,17.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.279,34.66,29.568,30.051
PIA,McLaren,18.0,0 days 00:01:34.160000,0 days 00:00:34.630000,0 days 00:00:29.580000,0 days 00:00:29.950000,MEDIUM,18.0,1.0,,,1,2.0,False,2025,Saudi Arabia,R,94.16,34.63,29.58,29.95
PIA,McLaren,19.0,0 days 00:01:36.450000,0 days 00:00:34.626000,0 days 00:00:29.498000,0 days 00:00:32.326000,MEDIUM,19.0,1.0,0 days 01:29:46.222000,,1,2.0,False,2025,Saudi Arabia,R,96.45,34.626,29.498,32.326
PIA,McLaren,20.0,0 days 00:01:50.606000,0 days 00:00:51.972000,0 days 00:00:29.347000,0 days 00:00:29.287000,HARD,1.0,2.0,,0 days 01:30:07.523000,1,6.0,False,2025,Saudi Arabia,R,110.606,51.972,29.347,29.287
