Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median
VER,Red Bull Racing,1.0,0 days 00:01:37.284000,,0 days 00:00:41.266000,0 days 00:00:23.616000,SOFT,4.0,1.0,,,12,1.0,False,2024,Bahrain,R,97.284,,41.266,23.616,95.59049999999999,1.6935000000000144
VER,Red Bull Racing,2.0,0 days 00:01:36.296000,0 days 00:00:30.916000,0 days 00:00:41.661000,0 days 00:00:23.719000,SOFT,5.0,1.0,,,1,1.0,False,2024,Bahrain,R,96.296,30.916,41.661,23.719,95.59049999999999,0.7055000000000149
VER,Red Bull Racing,3.0,0 days 00:01:36.753000,0 days 00:00:30.999000,0 days 00:00:41.966000,0 days 00:00:23.788000,SOFT,6.0,1.0,,,1,1.0,False,2024,Bahrain,R,96.753,30.999,41.966,23.788,95.59049999999999,1.1625000000000085
VER,Red Bull Racing,4.0,0 days 00:01:36.647000,0 days 00:00:30.931000,0 days 00:00:41.892000,0 days 00:00:23.824000,SOFT,7.0,1.0,,,1,1.0,False,2024,Bahrain,R,96.647,30.931,41.892,23.824,95.59049999999999,1.056500000000014
VER,Red Bull Racing,5.0,0 days 00:01:37.173000,0 days 00:00:31.255000,0 days 00:00:42.056000,0 days 00:00:23.862000,SOFT,8.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.173,31.255,42.056,23.862,95.59049999999999,1.5825000000000102
VER,Red Bull Racing,6.0,0 days 00:01:37.092000,0 days 00:00:31.041000,0 days 00:00:42.187000,0 days 00:00:23.864000,SOFT,9.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.092,31.041,42.187,23.864,95.59049999999999,1.5015000000000072
VER,Red Bull Racing,7.0,0 days 00:01:37.038000,0 days 00:00:31.015000,0 days 00:00:42.118000,0 days 00:00:23.905000,SOFT,10.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.038,31.015,42.118,23.905,95.59049999999999,1.4475000000000051
VER,Red Bull Racing,8.0,0 days 00:01:37.024000,0 days 00:00:31.041000,0 days 00:00:42.077000,0 days 00:00:23.906000,SOFT,11.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.024,31.041,42.077,23.906,95.59049999999999,1.4335000000000093
VER,Red Bull Racing,9.0,0 days 00:01:37.229000,0 days 00:00:31.100000,0 days 00:00:42.166000,0 days 00:00:23.963000,SOFT,12.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.229,31.1,42.166,23.963,95.59049999999999,1.6385000000000076
VER,Red Bull Racing,10.0,0 days 00:01:36.960000,0 days 00:00:30.986000,0 days 00:00:42.009000,0 days 00:00:23.965000,SOFT,13.0,1.0,,,12,1.0,False,2024,Bahrain,R,96.96,30.986,42.009,23.965,95.59049999999999,1.3695000000000022
VER,Red Bull Racing,11.0,0 days 00:01:37.085000,0 days 00:00:30.974000,0 days 00:00:42.142000,0 days 00:00:23.969000,SOFT,14.0,1.0,,,21,1.0,False,2024,Bahrain,R,97.085,30.974,42.142,23.969,95.59049999999999,1.4945000000000022
VER,Red Bull Racing,12.0,0 days 00:01:37.045000,0 days 00:00:30.966000,0 days 00:00:42.091000,0 days 00:00:23.988000,SOFT,15.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.045,30.966,42.091,23.988,95.59049999999999,1.4545000000000101
VER,Red Bull Racing,13.0,0 days 00:01:37.030000,0 days 00:00:30.964000,0 days 00:00:42.055000,0 days 00:00:24.011000,SOFT,16.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.03,30.964,42.055,24.011,95.59049999999999,1.4395000000000095
VER,Red Bull Racing,14.0,0 days 00:01:37.028000,0 days 00:00:30.938000,0 days 00:00:42.042000,0 days 00:00:24.048000,SOFT,17.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.028,30.938,42.042,24.048,95.59049999999999,1.4375000000000142
VER,Red Bull Racing,15.0,0 days 00:01:37.011000,0 days 00:00:30.887000,0 days 00:00:42.058000,0 days 00:00:24.066000,SOFT,18.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.011,30.887,42.058,24.066,95.59049999999999,1.420500000000004
VER,Red Bull Racing,16.0,0 days 00:01:37.168000,0 days 00:00:31.048000,0 days 00:00:42.032000,0 days 00:00:24.088000,SOFT,19.0,1.0,,,1,1.0,False,2024,Bahrain,R,97.168,31.048,42.032,24.088,95.59049999999999,1.5775000000000148
